mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
257809700,N/A ,PILOT,PILOT
257899700,N/A ,,UNKNOWN
219001211,GITTE VIG,tug,TUG
477612300,N/A ,,TANKER
219000892,DBB LILLEFIX,dredger,OTHER
277372000,N/A ,,UNKNOWN
246484000,N/A ,,CARGO
636012896,N/A ,,TANKER
258709000,HAGLAND BORG,cargo,CARGO
219001362,JETTE SAJ,dredger,OTHER
636092297,JOHANN,cargo,CARGO
235011030,Unkown ,unknown,UNKNOWN
210084000,N/A ,,CARGO
231099000,HAV NES,cargo,CARGO
111219502,M 502,SAR,OTHER
219004266,EKKO 2,Research/Survey ,OTHER
309186000,FRI TIDE,cargo,CARGO
229025000,N/A ,,CARGO
219886000,N/A ,,UNKNOWN
538005692,N/A ,,CARGO
273432110,SEVERNIY PROECT,cargo,CARGO
219023945,PILOT II,pilot,PILOT
305576000,ELBSKY,container,CARGO
258809000,HAGLAND SAGA,cargo,CARGO
256632000,KARMEL,cargo,CARGO
215637000,N/A ,,TANKER
220591000,N/A ,,UNKNOWN
246188000,FENSFJORD,cargo,CARGO
219017783,N/A ,SUPPLY,OTHER
244093000,N/A ,,CARGO
111219508,M 508,SAR,OTHER
266457000,RAMANDA,Chemical/Oil Tanker,TANKER
241456000,THOMAS ZAFIRAS,TANKER,TANKER
249581000,ALAND,Chemical/Oil Tanker,TANKER
219000166,MHV 902 MANOE,Military Ops,MILITARY
518435000,N/A ,,CARGO
266472000,LEXUS,Chemical/Oil Tanker,TANKER
311000758,FRI RIVER,cargo,CARGO
236195000,N/A ,,UNKNOWN
231613000,BAL BULK,cargo,CARGO
304936000,EKNOE,cargo,CARGO
209671000,CEMLUNA,cement carrier,CARGO
255805980,RIX PARTNER,cargo,CARGO
219020147,SEVERNIY PROECT,SAR,OTHER
636012856,N/A ,,UNKNOWN
277291000,PATRIA SEAWAYS,passenger/ro ro cargo ,PASSANGER
266235000,FURE WEST,Chemical/Oil Tanker,TANKER
